country,fsysbank,startyear,endyear,hascurr,hassovdebt,hassovdebtres,hasinfl,yloss,fcost_v1,fcost_v2,fcost_v3,maxnpl,gsdebt,lvsource,rrsource
Albania,1,1994,1994,0,0,0,,,,,,26.8,,1,0
Algeria,1,1990,1994,1,0,0,1,41.3922533,,,,30,19.10056,1,1
Angola,0,,,,,,,,,,,,,1,1
Azerbaijan,1,1995,1995,0,0,0,,,,,,,0.8960299999999999,1,0
Argentina,1,1980,1982,0,0,0,1,58.17123480000001,55.1,55.1,213.8975067138672,9,33.14739,1,1
Argentina,2,1989,1991,0,1,0,1,12.6299469,6,6,21.60604858398438,27,-21.29261,1,1
Argentina,3,1995,1995,1,0,0,0,0,2,2,8.550662994384766,17,8.69467,1,1
Argentina,4,2001,2003,1,1,0,1,70.9741988,9.6,9.584664537,28.09482192993164,20.1,81.88721,1,1
Australia,0,,,,,,,,,,,,,1,1
Austria,1,2008,2012,0,0,0,,19.215918,5.149999999999999,1.64,1.643531441688538,4.100000000000001,19.8,1,0
Bangladesh,1,1987,1987,0,0,0,,0,,,,20,3.4759,1,0
Armenia,1,1994,1994,0,0,0,,,,,,,,1,0
Barbados,0,,,,,,,,,,,,,1,0
Belgium,1,2008,2012,0,0,0,0,15.732718,6.15,0.46,1.628382802009583,4.24,22.2,1,1
Bhutan,0,,,,,,,,,,,,,1,0
Bolivia,1,1986,1986,1,0,0,1,49.1917352,,,,30,-107.2825,1,1
Bolivia,2,1994,1994,0,0,0,,0,6,2.653333333333334,15.19371891021729,6.2,-19.21072,1,0
Bosnia and Herzegovina,1,1992,1996,0,0,0,,,,,,,,1,0
Botswana,0,,,,,,,,,,,,,1,0
Brazil,1,1990,1994,1,0,0,1,62.29560429999999,0,0,0,,-22.64,1,1
Brazil,2,1994,1998,1,0,1,1,0,13.2,10.2,28.59618759155273,16,-33.77793,1,1
Belize,0,,,,,,,,,,,,,1,0
Brunei,0,,,,,,,,,,,,,1,0
Bulgaria,1,1996,1997,1,0,0,,59.5104933,14,13.9,21.37078285217285,75,-30.07973,1,0
Myanmar,1,2002,2005,0,,,1,,,,,,,0,1
Burundi,1,1994,1998,0,0,0,,121.1920017,,,,25,10.85286,1,0
Belarus,1,1995,1995,0,0,0,,,,,,,-16.45655,1,0
Cambodia,0,,,,,,,,,,,,,1,0
Cameroon,1,1987,1991,0,0,0,,105.52664,,,,65,17.96692,1,0
Cameroon,2,1995,1997,0,0,0,,8.098251900000001,,,,30,-1.06627,1,0
Canada,0,,,,,,,,,,,,,1,1
Cape Verde,1,1993,1993,0,0,0,,0,,,,30,18.15971,1,0
Central African Republic,1,1976,1976,0,0,0,0,0,,,,,-4.77751,1,1
Central African Republic,2,1988,1993,1,,,1,,,,,,,0,1
Central African Republic,3,1995,1996,0,0,0,,8.9569594,,,,40,-16.26852,1,0
Sri Lanka,1,1989,1991,1,0,0,1,19.581246,5,5,21.96836471557617,35,-5.5,1,1
Chad,1,1983,1983,0,0,0,,0,,,,,-7.16883,1,0
Chad,2,1992,1996,0,0,0,,0,,,,35,27.0806,1,0
Chile,1,1976,1976,1,0,0,1,19.8985502,,,,,-69.52382,1,1
Chile,2,1981,1985,0,0,0,,8.6097452,42.9,16.8,134.3143310546875,35.6,87.8976,1,0
China,1,1998,1998,0,0,0,0,19.3983106,18,,19.53125,20,11.15775,1,1
Colombia,1,1982,1982,1,0,0,1,46.9595342,5,5,16.49620628356934,4.1,16.57043,1,1
Colombia,2,1998,2000,1,0,0,0,43.3981607,6.3,2.539999999999999,15.89704704284668,14,15.40799,1,1
Comoros,0,,,,,,,,,,,,,1,0
"Congo, Republic of the",1,1992,1994,0,0,1,,47.3598384,,,,,103.4631,1,0
"Congo, Democratic Republic of the",1,1983,1983,1,0,0,,1.3754204,,,,,39.45382,1,0
"Congo, Democratic Republic of the",2,1991,1994,0,0,0,,129.5467522,,,,,42.1884,1,0
"Congo, Democratic Republic of the",3,1994,1998,1,0,0,,78.9919386,,,,75,39.25775,1,0
Costa Rica,1,1987,1991,1,0,0,1,0,,,,,-27.54878,1,1
Costa Rica,2,1994,1995,1,0,0,1,0,,,,32,4.75884,1,1
Croatia,1,1998,1999,0,0,0,,,6.9,6.9,14.95124530792236,10.5,14.0892,1,0
Cyprus,1,2011,2015,0,0,0,,76.495338,17.99,17.99,2.572522878646851,47.75,21.25666942980864,1,0
Czech Republic,1,1996,2000,0,0,0,,,6.800000000000001,5.800000000000001,9.577465057373049,18,1.77465,1,0
Benin,1,1988,1992,0,0,0,,14.9175882,17,,64.32084655761719,80,5.67801,1,0
Denmark,1,2008,2009,0,0,0,0,35.016396,5.94,2.44,3.060909032821655,5.949999999999999,32.76446378492348,1,1
Dominica,0,,,,,,,,,,,,,1,0
Dominican Republic,1,2003,2004,0,1,0,1,12.493992,22,20.8,63.71271514892578,9,16.51355,1,1
Ecuador,1,1981,1981,0,,,0,,,,,,,0,1
Ecuador,2,1982,1986,1,1,0,,98.1906225,,,,,24.40191,1,0
Ecuador,3,1998,2002,0,0,0,,25.3533299,21.7,16.26,76.84136199951172,40,9.0542,1,0
El Salvador,1,1989,1990,0,0,0,1,0,,,,37,-29.55433,1,1
Equatorial Guinea,1,1983,1983,0,0,0,,0,,,,,,1,0
Ethiopia,0,,,,,,,,,,,,,1,0
Eritrea,1,1993,1993,0,0,0,,,,,,,,1,0
Estonia,1,1992,1994,1,0,0,,,1.9,1.63,,7.000000000000001,,1,0
Fiji,0,,,,,,,,,,,,,1,0
Finland,1,1991,1995,1,0,0,0,69.5903144,12.8,11.08,15.49261665344238,13,43.55003,1,1
France,1,2008,2009,0,0,0,,23.349285,1.26,1.06,0.3442980349063873,4.5,15.87566962204427,1,0
Djibouti,1,1991,1995,0,0,0,,42.6452632,,,,,,1,0
Gabon,0,,,,,,,,,,,,,1,0
Georgia,1,1991,1995,0,0,0,,,,,,33,,1,0
Gambia,0,,,,,,,,,,,,,1,0
Germany,1,2008,2009,0,0,0,0,12.257433,2.73,0.69,0.903683603,3.7,16.22823447199376,1,1
Ghana,1,1982,1983,1,0,0,1,45.3091339,6,6,105.8201065063477,35,15.5217,1,1
Greece,1,2008,2012,0,0,0,0,64.926102,28.7,17.11,17.05818176269531,37.1,43.87039989046265,1,1
Grenada,0,,,,,,,,,,,,,1,0
Guatemala,0,,,,,,,,,,,,,1,1
Guinea,1,1985,1985,0,1,0,,0,3,,,,,1,0
Guinea,2,1993,1993,0,0,0,,0,,,,45,6.721729999999999,1,0
Guyana,1,1993,1993,0,0,0,,0,,,,,-240.9886,1,0
Haiti,1,1994,1998,0,0,0,,37.5491285,,,,,-119.382,1,0
Honduras,0,,,,,,,,,,,,,1,1
Hong Kong,0,,,,,,,,,,,,,1,0
